Feature 1;Feature 2;Correlation
AccountAge;TotalCharges_Per_MonthlyCharges;0.9976747120038455
MonthlyCharges;ChurnRiskMonthlyCharges;0.9669382492072968
MonthlyCharges;AccountAgePerTotalCharges;-0.9388425797373756
TotalCharges;AccountAgeTotalCharges;0.9608362416224194
SupportTicketsPerMonth;ChurnRiskSupport;0.9638391476871927
ChurnRiskMonthlyCharges;MonthlyCharges;0.9669382492072968
SupportTicketsPerMonth_Per_Age;SupportTicketsPerMonth_Per_Age_log;0.9646503651009326
SupportTicketsPerMonth_Per_Age_log;SupportTicketsPerMonth_Per_Age;0.9646503651009326
SupportTicketsPerMonth_Per_AverageViewingDuration;SupportTicketsPerMonth_Per_AverageViewingDuration_log;0.9925093482299526
SupportTicketsPerMonth_Per_AverageViewingDuration_log;SupportTicketsPerMonth_Per_AverageViewingDuration;0.9925093482299526
ChurnRiskSupport;SupportTicketsPerMonth;0.9638391476871927
AccountAgeTotalCharges;TotalCharges;0.9608362416224194
AccountAgePerTotalCharges;MonthlyCharges;-0.9388425797373756
ContentDownloads_Per_MonthlyCharges;ContentDownloads_Per_MonthlyCharges_log;0.9593515444175501
ContentDownloads_Per_MonthlyCharges_log;ContentDownloads_Per_MonthlyCharges;0.9593515444175501
TotalCharges_Per_MonthlyCharges;AccountAge;0.9976747120038455
