Feature 1,Feature 2,Correlation
AccountAge,Churn,-0.19773563199738822
MonthlyCharges,Churn,0.1004728066286851
TotalCharges,Churn,-0.12052871074131641
ViewingHoursPerWeek,Churn,-0.12864480603963108
AverageViewingDuration,Churn,-0.1468965686669007
ContentDownloadsPerMonth,Churn,-0.12975187419254675
AccountAge_Per_MonthlyCharges,Churn,-0.19433059121842572
MonthlyCharges_Per_AccountAge,Churn,0.11003661330139453
AccountAgeViewingHoursPerWeek,Churn,-0.2014947589474497
AccountAgeAverageViewingDuration,Churn,-0.21127803623039162
AccountAgeContentDownloadsPerMonth,Churn,-0.19935240630470605
AccountAgeUserRating,Churn,-0.14691725690026008
AccountAge_Per_UserRating,Churn,-0.15118070462589453
AccountAge_Per_SupportTicketsPerMonth,Churn,-0.11539666457278588
SupportTicketsPerMonth_Per_AccountAge,Churn,0.10671132502189866
AccountAgeWatchlistSize,Churn,-0.1151644485384243
MonthlyCharges_Per_ViewingHoursPerWeek,Churn,0.11041393054567382
ViewingHoursPerWeek_Per_MonthlyCharges,Churn,-0.1437358755922038
MonthlyCharges_Per_AverageViewingDuration,Churn,0.12407223587731978
AverageViewingDuration_Per_MonthlyCharges,Churn,-0.15755373709399828
ContentDownloadsPerMonth_Per_MonthlyCharges,Churn,-0.14555918222047576
MonthlyChargesSupportTicketsPerMonth,Churn,0.12068211404915077
TotalChargesViewingHoursPerWeek,Churn,-0.152027373478252
TotalChargesAverageViewingDuration,Churn,-0.1606812101032435
TotalChargesContentDownloadsPerMonth,Churn,-0.15133274433794924
TotalCharges_Per_UserRating,Churn,-0.1007231053173037
ViewingHoursPerWeekAverageViewingDuration,Churn,-0.17280648254486566
ViewingHoursPerWeekContentDownloadsPerMonth,Churn,-0.1604501801984652
ViewingHoursPerWeek_Per_UserRating,Churn,-0.10219798602169906
SupportTicketsPerMonth_Per_ViewingHoursPerWeek,Churn,0.10601976470689863
AverageViewingDurationContentDownloadsPerMonth,Churn,-0.17181386058615208
AverageViewingDurationUserRating,Churn,-0.10385170093833808
AverageViewingDuration_Per_UserRating,Churn,-0.11447261233375841
SupportTicketsPerMonth_Per_AverageViewingDuration,Churn,0.11889529402619936
ContentDownloadsPerMonth_Per_UserRating,Churn,-0.10485503364881553
