Feature,Correlation
AccountAgeAverageViewingDuration,-0.21127803623040056
AccountAgeViewingHoursPerWeek,-0.20149475894744986
AccountAgeContentDownloadsPerMonth,-0.19935240630471154
AccountAge,-0.19773563199738634
TotalCharges_Per_MonthlyCharges,-0.19773563199738634
AccountAge_Per_MonthlyCharges,-0.19433059121843155
ViewingHoursPerWeekAverageViewingDuration,-0.17280648254486813
AverageViewingDurationContentDownloadsPerMonth,-0.17181386058615275
TotalChargesAverageViewingDuration,-0.1606812101032455
ViewingHoursPerWeekContentDownloadsPerMonth,-0.16045018019846577
AverageViewingDuration_Per_MonthlyCharges,-0.15755373709400358
TotalChargesViewingHoursPerWeek,-0.15202737347825462
TotalChargesContentDownloadsPerMonth,-0.15133274433794833
AccountAge_Per_UserRating,-0.1511807046258962
AccountAgeUserRating,-0.14691725690025886
AverageViewingDuration,-0.14689656866689915
ContentDownloadsPerMonth_Per_MonthlyCharges,-0.1455591822204753
ViewingHoursPerWeek_Per_MonthlyCharges,-0.1437358755922063
AccountAgeTotalCharges,-0.1386983005128038
ContentDownloadsPerMonth,-0.1297518741925474
ViewingHoursPerWeek,-0.1286448060396313
MonthlyCharges_Per_AverageViewingDuration,0.12407223587732112
MonthlyChargesSupportTicketsPerMonth,0.12068211404915034
AccountAgeMonthlyCharges,-0.12052871074131645
TotalCharges,-0.12052871074131645
SupportTicketsPerMonth_Per_AverageViewingDuration,0.1188952940261999
AccountAge_Per_SupportTicketsPerMonth,-0.11539666457278687
AccountAgeWatchlistSize,-0.11516444853842593
AverageViewingDuration_Per_UserRating,-0.11447261233376
MonthlyCharges_Per_ViewingHoursPerWeek,0.11041393054567585
MonthlyCharges_Per_AccountAge,0.11003661330139387
SupportTicketsPerMonth_Per_AccountAge,0.10671132502189731
SupportTicketsPerMonth_Per_ViewingHoursPerWeek,0.10601976470689753
ContentDownloadsPerMonth_Per_UserRating,-0.10485503364881675
AverageViewingDurationUserRating,-0.1038517009383391
ViewingHoursPerWeek_Per_UserRating,-0.10219798602169994
TotalCharges_Per_UserRating,-0.10072310531730576
MonthlyCharges,0.10047280662868757
TotalCharges_Per_AccountAge,0.10047280662868757
